City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Westport,US,41.1415,-73.3579,86.27,91,90,5.99,overcast clouds
223,Taft,IR,31.7471,54.2088,87.75,22,38,11.5,dust
224,Santa Cruz,BO,-17.8,-63.1667,82.45,61,40,13.8,scattered clouds
225,Port Angeles,US,48.1181,-123.4307,83.57,52,0,6.91,clear sky
226,Tual,ID,-5.6667,132.75,79.59,83,44,21.18,scattered clouds
227,Vitim,RU,59.4511,112.5578,74.88,66,6,3.11,clear sky
228,Bandarbeyla,SO,9.4942,50.8122,76.84,76,37,28.77,scattered clouds
229,Den Helder,NL,52.9599,4.7593,66.18,79,75,13.0,broken clouds
230,Avarua,CK,-21.2078,-159.775,75.25,57,75,9.22,broken clouds
231,Valpoi,IN,15.5305,74.1356,75.78,92,100,2.91,overcast clouds
232,Kushima,JP,31.4583,131.2333,81.23,84,8,2.73,clear sky
233,Sao Filipe,CV,14.8961,-24.4956,78.55,89,89,3.44,overcast clouds
234,Shimoda,JP,34.6667,138.95,78.1,91,100,10.33,overcast clouds
235,Serafimovich,RU,49.5786,42.736,60.62,91,42,5.1,scattered clouds
236,Lumeje,AO,-11.55,20.7833,61.9,32,0,5.99,clear sky
237,Leominster,US,42.5251,-71.7598,82.26,74,84,1.99,broken clouds
238,Micheweni,TZ,-4.9667,39.8333,73.54,80,51,11.16,broken clouds
239,Popondetta,PG,-8.7537,148.2534,82.42,67,48,0.04,scattered clouds
240,Havoysund,NO,70.9963,24.6622,52.03,92,100,11.54,light rain
241,Puerto Escondido,MX,15.85,-97.0667,86.83,62,75,6.91,broken clouds
242,Manokwari,ID,-0.8667,134.0833,79.54,80,95,5.46,overcast clouds
243,Heihe,CN,50.2441,127.4902,70.38,62,0,2.91,clear sky
244,Kalmunai,LK,7.4167,81.8167,79.61,81,100,4.18,light rain
245,Hasaki,JP,35.7333,140.8333,79.2,83,65,17.36,light rain
246,Mercedes,AR,-34.6515,-59.4307,62.04,97,100,11.16,overcast clouds
247,Kuytun,RU,54.3419,101.5036,52.95,93,100,12.62,light rain
248,Almeirim,BR,-1.5233,-52.5817,77.58,80,78,3.29,broken clouds
249,Sosua,DO,19.7667,-70.5167,78.71,89,75,11.5,broken clouds
250,Christchurch,NZ,-43.5333,172.6333,50.92,97,100,8.05,mist
251,Port Augusta,AU,-32.5,137.7667,48.74,73,0,3.96,clear sky
252,Coro,VE,11.4045,-69.6734,80.82,79,30,19.77,scattered clouds
253,Ulaanbaatar,MN,47.9077,106.8832,55.53,82,75,4.47,broken clouds
254,Nome,US,64.5011,-165.4064,53.67,94,100,10.36,moderate rain
255,Naze,JP,28.3667,129.4833,79.72,77,7,2.28,clear sky
256,Carutapera,BR,-1.195,-46.02,77.02,87,99,5.88,overcast clouds
257,Saldanha,ZA,-33.0117,17.9442,53.65,55,1,8.57,clear sky
258,Ambulu,ID,-8.345,113.6058,69.17,89,69,2.68,broken clouds
259,Mino,JP,34.8269,135.4706,85.84,74,40,5.75,scattered clouds
260,Chifeng,CN,42.2683,118.9636,73.17,74,87,5.5,overcast clouds
261,Arlit,NE,18.7369,7.3853,99.39,13,2,8.03,clear sky
262,Nizhniy Tsasuchey,RU,50.5167,115.1333,63.59,93,100,7.0,overcast clouds
263,Coquimbo,CL,-29.9533,-71.3436,55.13,82,20,8.05,few clouds
264,Pindushi,RU,62.9152,34.58,62.06,76,96,4.34,overcast clouds
265,Ust-Ishim,RU,57.6935,71.1665,61.43,97,45,3.83,scattered clouds
266,Kamina,CD,-8.7386,24.9906,62.47,43,17,4.32,few clouds
267,Tuatapere,NZ,-46.1333,167.6833,45.12,94,100,13.49,light rain
268,Hermiston,US,45.8404,-119.2895,105.8,19,1,3.0,clear sky
269,Cabo San Lucas,MX,22.8909,-109.9124,96.62,60,0,11.5,clear sky
270,Obo,CF,5.3998,26.4869,68.04,96,95,1.36,light rain
271,Norman Wells,CA,65.282,-126.8329,77.04,36,20,12.66,few clouds
272,Ust-Nera,RU,64.5667,143.2,72.48,39,8,4.38,clear sky
273,Nanakuli,US,21.3906,-158.1547,85.37,47,75,13.8,broken clouds
274,Ozinki,RU,51.1786,49.6769,63.05,82,50,4.56,scattered clouds
275,Alofi,NU,-19.0595,-169.9187,76.89,53,75,16.11,broken clouds
276,Mapiripan,CO,2.8892,-72.1256,74.52,94,79,3.36,broken clouds
277,Stornoway,GB,58.2093,-6.3865,51.93,89,100,6.91,overcast clouds
278,Balasheyka,RU,53.2841,48.0851,61.59,97,98,1.92,overcast clouds
279,Axim,GH,4.8699,-2.2405,74.46,86,79,8.68,broken clouds
280,Olovyannaya,RU,50.95,115.5667,61.93,96,100,3.87,overcast clouds
281,Coahuayana,MX,18.7333,-103.6833,83.34,75,100,3.29,overcast clouds
282,Ochakiv,UA,46.6128,31.5498,71.2,60,3,9.73,clear sky
283,Olafsvik,IS,64.8945,-23.7142,52.75,63,96,5.99,overcast clouds
284,Kampong Cham,KH,11.9934,105.4635,77.18,91,100,4.0,overcast clouds
285,Vila Velha,BR,-20.3297,-40.2925,70.95,87,0,4.61,clear sky
286,Taoudenni,ML,22.6783,-3.9836,101.19,11,2,11.14,clear sky
287,Gashua,NG,12.871,11.0482,88.05,50,70,12.59,broken clouds
288,Fortuna,US,40.5982,-124.1573,73.92,63,36,3.0,scattered clouds
289,Puerto Madryn,AR,-42.7692,-65.0385,46.74,91,100,10.2,light rain
290,Palomares,MX,17.15,-95.0667,80.47,85,89,6.51,overcast clouds
291,Mount Gambier,AU,-37.8333,140.7667,49.93,60,90,14.07,overcast clouds
292,Katsuura,JP,35.1333,140.3,80.62,87,96,18.72,overcast clouds
293,Miranda,CO,3.2499,-76.2281,73.53,92,83,1.23,broken clouds
294,Walvis Bay,NA,-22.9575,14.5053,54.09,93,56,3.44,broken clouds
295,Khorramshahr,IR,30.4397,48.1664,93.16,14,0,13.8,clear sky
296,Innisfail,AU,-17.5333,146.0333,69.39,75,98,4.83,overcast clouds
297,Port Hawkesbury,CA,45.6169,-61.3485,81.52,80,0,13.8,clear sky
298,Bairiki,KI,1.3292,172.9752,86.0,66,20,12.66,few clouds
299,Hassleholm,SE,56.1591,13.7664,65.75,96,100,9.73,overcast clouds
300,Hamilton,US,39.1834,-84.5333,79.86,70,100,1.01,overcast clouds
301,Hambantota,LK,6.1241,81.1185,77.88,87,100,11.36,light rain
302,Krasnyy Yar,RU,46.5331,48.3456,67.93,53,12,8.95,few clouds
303,Lorengau,PG,-2.0226,147.2712,81.59,80,91,8.43,overcast clouds
304,Hovd,MN,48.0056,91.6419,55.54,50,4,3.62,clear sky
305,Metro,ID,-5.1131,105.3067,72.25,96,98,3.98,light rain
